,No.,Title,Author,Size,Year,Category,Description
1303,2794,"Map No. 1 Proposed Metropolitan Park System for
  Chicago.", ,"19.25""x31.25""",1904,Parks - General," Map of
  Chicago area marking major streets, Park District zones. Existing parks and
  boulevards in green. Proposed parks in red. Also marks city limits, Cook Cty
  line, cemeteries, and railroads. Small public parks and squares marked by
  letter with legend at right. From: Report... Special Park Commission,
  1904."
1304,2794-A,"Park Districts and Parks within the City of
  Chicago.",Chicago Bureau of Public Efficiency,"13.5""x17.5""",1913,Parks- General," Map of
  Chicago marking major streets, Park District divisions. Marks parks and
  boulevards, field houses and playgrounds, small parks with fields-houses and
  playgrounds, bathing beaches."
1305,2795,Chicago Parks 1914.,Rand McNally and Co.,Non-graphic. Key to Map #2796.,1914,Parks- General," In
  hardcover folder. Contains 6 handwritten labels and 1 clipping. Shows 16
  Parks Commissions and Special Parks Commission. Labels Parks, Squares,
  Triangles, etc.; Park districts, Small parks with field houses, Small parks
  without field houses, Bathing beaches, Large parks and boulevards, Municipal
  playgrounds, etc."
1306,2796,New General Map of Chicago.,Rand McNally and Co.,"58""x33.5""",1914,Parks- General," Map
  showing streets and railroads, S to 158th, W to La Grange, N to
  Evanston/Central. Park District Divisions marked by number and color. Parks
  and boulevards in green.  Smaller parks
  colored and hand-numbered. Index to railroads at right. Legend to numbered
  parks in folder #2796. Scale:
  1.75""=1 mile"
1307,2797,An Outline Map of a Greater Chicago.,Standard Map Co.,"23""x41""",1924,Parks- General," Map of
  Chicago area showing major streets, railways, rivers and canals. Parks and
  boulevards labelled and in green. S to 231st, W to Mt. Prospect, N to Howard."
1308,2798,How to Locate the Parks in Your Neighborhood.,Chicago Daily News,"8.25""x13""",1935,Parks- General," Map
  showing north and northwest sides of Chicago (Park Districts 5 and 6),
  marking major roads and large and small parks. Information on parks included
  at bottom. From: Chicago Daily News, 9/21/35."
1309,2799,Map and Directory of the Chicago Park District., ,"8.75""x11.25""",1936,Parks- General," Map
  showing Chicago marking major streets with parks in black. Parks numbered
  with legend including addresses at right. From: Handbook of Chicago Parks."
1310,2800,Map of the Chicago Park District., ,"11""x15""",1948,Parks- General," Map of
  Chicago showing major streets, railways, rivers and canals. Parks and
  boulevards in black. Director to parks and boulevards with locations at left.
  Also marks sites for future parks totally or partially acquired up to
  12/31/48. From
  dup. of qF38M.C43."
1311,2801,Map of the Chicago Park District., ,"15""x19.5""",1959,Parks- General," Map of
  Chicago marking major streets and railway lines. Marks active and passive
  public recreation areas, public baths, and street-end beaches with legend
  including addresses in upper right. Map on alphanumeric grid."
1312,2802,"Chicago Park District Directory-Map of the
  Chicago Park District.", ,"17""x22""",1966,Parks- General," Map of
  Chicago showing major streets and railroads, rivers and canals.  Labels parks. Map on alphanumeric grid with
  legend to parks with addresses in margins."
1313,2803,Map of the Chicago Park District., ,"17""x22""",1974,Parks- General," Map of
  Chicago showing major streets and railroads, rivers and canals.  Labels parks. Map on alphanumeric grid with
  legend to parks with addresses in margins."
1314,2843,Map of South Park District., ,"18.5""x30""",1908,Parks - General," Map of
  Chicago S of Jackson, E of 48th Ave showing major streets, with old parks and
  boulevards in green and new parks in orange. South Park District boundary in
  brown. Table of areas and length of south parks and boulevards in bottom
  left. From: Report... South Park Commissioners,
  1909."
1315,2846,West Park System., ,"19""x24""",1910,Parks- General," Map of
  Chicago showing streets with West District parks and boulevards in green,
  South District in yellow, and North District in brown. West District
  boundaries hand-marked in blue. S to 31st, W to Austin, N to Diversey. Table
  in upper left lists sizes of parks and boulevards."
1316,3190,Map of the Chicago Park District (3 copies), ,"17""x22""",1982,Parks- General," Map of
  Chicago showing major streets, railways, rivers and canals. Park areas
  labelled and shaded green. Map on alphanumeric grid with alphabetical legend
  of parks and addresses in margins."
1317,3191,Map of the Chicago Park District., ,"17.75""x22.5""",1988,Parks- General," Map of
  Chicago showing major streets and railroads, rivers and canals.  Labels parks. Map on alphanumeric grid with
  legend to parks with addresses in margins."
1318,3198,Your Guide to Free Play Areas.,Chicago Daily News,"11""x17""",1960,Parks- General," Map of
  Cook County showing major streets and highways with parks and forest
  preserves outside Chicago shaded green. Parks and preserves numbered with
  legend at left. Information on Cook County Forest Preserves at left."
1319,3201,Preliminary Plan of Lake Shore Development,South Park Commissioners.,"8.5""x31.25""",1923,Parks- General," Fragile,
  torn at creases. Map
  showing proposed lakeshore park system from Navy Pier to Jackson Park. Shows
  pathways, adjacent streets and railroads, and park structures."
1320,2804,Armour Square.,South Park Commissioners.,"8""x8.25""",1904,Parks," Shield
  Ave and 5th Ave. Shows pathways, forested areas, pools, gymnasium, and other
  recreational areas. From: Report... South Park Commissioners,
  1904"
1321,2805,General Plan for Park Number Three.,Olmsted Bros.,"21""x23.75""",1905,Parks," Colored
  map of park at 33rd and Shields. Shows fields, forested areas, lighting
  fixtures, gymnasium, swimming pool, and other recreational facilities. Also
  provides measurements. Gift:
  Municipal Museum, 1910."
1322,2806,Armour Square.,South Park Commissioners.,"8.5""x9""",1906,Parks," Map of
  Armor Square between 33rd and 34th, Shield Ave and 5th Ave. Shows pathways,
  forested areas, pools, gymnasium, and other recreational areas. From: Report... South Park Commissioners,
  1905"
1323,2807,Plan of Recreation Building-Armour Square.,South Park Commissioners.,"8.5""x12.25""",1906,Parks," Plan of
  Armour Park field house showing all rooms, courts, stairways, pools, halls,
  etc. From: Report... South Park Commissioners,
  1905"
1324,2808,Bessemer Park.,South Park Commissioners.,"8""x8.25""",1904,Parks," Map of
  Bessemer Park at 89th and Muskegon. Shows pathways, fields, forested areas,
  pools, gymnasium, and other recreational areas. From: Report... South Park Commissioners,
  1904"
1325,2809,Calumet Park.,South Park Commissioners.,"10""x11.25""",1904,Parks," ""Preliminary
  plan for Park No. 11"". Plan of
  Calumet Park at 99th and Lake Michigan. Shows fields, forested areas, concert
  grove, lagoon, harbor, breakwaters, and adjacent streets. Scale:
  100 ft = 1"" From: Report... South Park Commissioners,
  1904"
1326,2810,Cornell Square.,South Park Commissioners.,"8""x8""",1904,Parks," Map of
  Cornell Square Park between Lincoln and Wood, 50th and 51st. Shows pathways,
  fields, forested areas, pools, gymnasium, and other recreational areas."
1327,2811,General Plan for Park Number Five.,Olmsted Bros.,"20.75""x25.75""",1904,Parks," Colored
  map of park at 50th and Lincoln. Shows fields, forested areas, lighting
  fixtures, field house, swimming pool, and other recreational facilities. Also
  provides measurements. Gift:
  Municipal Museum, 1910."
1328,2812,Davis Square.,South Park Commissioners.,"8""x8""",1904,Parks," Map of
  Davis Square Park between Hermitage and Marshfield, 44th and 45th. Shows
  pathways, fields, forested areas, pools, gymnasium, and other recreational
  areas. ICHi-16998."
1329,630,Douglas Park. (2 copies),"DuBois, O.F.","13.5""x23.5""",1885,Parks," ""Map
  showing progress made in the improvements up to March 1st 1885."" Colored
  map showing Douglas Park. Shows adjacent streets, pathways, lakes, and
  forested areas. Buildings in red. Scale:
  1""=200 ft"
1330,2813,South Park Commissioners Square No. 4.,South Park Commissioners.,"8.5""x9.25""",1906,Parks," Map of
  Fuller Park at Princeton between 45th and 46th. Shows nearby streets,
  pathways, pool, field, and other reaction areas. From: Report... South Park Commissioners,
  1906"
1331,2814,Fuller Park Field House.,South Park Commissioners.,"8.5""x11""",1912,Parks," Plan of
  Fuller Park field house showing all rooms, courts, stairways, etc. Shows
  first floor plan, second flood, and service yard. From: Report... South Park Commissioners,
  1912"
1332,2815,General Plan Fuller Park,South Park Commissioners.,"8.5""x11""",1912,Parks," Map of
  Fuller Park  at Princeton between 45th
  and 46th. Shows nearby streets, pathways, forested areas, fields, pool, and
  other recreation areas. From: Report... South Park Commissioners,
  1912."
1333,2816,Gage Park.,South Park Commissioners.,"19""x15""",1901,Parks," Map of
  Gage Park at Western between 54th and 56th. Shows nearby streets, pathways,
  forested areas, fields, pool, and other recreation areas. From: Report... South Park Commissioners,
  1901."
1334,2817,Gage Park.,South Park Commissioners.,"8.25""x10.25""",1905,Parks," Map of
  Gage Park at Western between 54th and 56th. Shows nearby streets, pathways,
  forested areas, fields, pool, and other recreation areas. From: Report... South Park Commissioners,
  1904."
1335,631,Garfield Park. (2 copies),"DuBois, O.F.","15""x26""",1885,Parks," ""Map
  showing progress made in the improvements up to March 1st 1885."" Colored
  map showing Garfield Park, including main area, nursery, and zoological
  gardens. Shows adjacent streets, pathways, lakes, and forested areas.
  Buildings in red. Scale:
  1""=200 ft"
1336,604,Plan of Lake Park, ,"7.75""x37.75""", ,Parks," Colored
  map showing plan of lakeside park east of Michigan Avenue between Harmon and
  Randolph. Shows pathways, lakes green spaces, railway lines, and breakwater.
  Profile views of Section A and Section B at bottom. Scale:
  1""=200 ft ICHi-17018"
1337,2818,Revised Preliminary Plan for Grant Park.,South Park Commissioners.,"16""x26.5""",1903,Parks," Preliminary
  plan for Grant Park showing proposed location for Field Museum, Art
  Institute, pathways, meadows, statues, yacht harbor, field houses, boat
  landings, breakwaters, etc. Also shows nearby streets N to Randolph, S to
  12th. From: Report... South Park Commissioners,
  1904. ICHi-34659"
1338,2819,Arrangement of Seating in the Olympic Games ., ,"19.25""x27.5""",1913,Parks," Fragile,
  torn at edges. Map
  showing seating at Grant Park Olympic Games Stadium, June 28 to July 6, 1913.
  Marks illuminated area for events, tracks, and seating sections. Marks
  Jackson Blvd. and other adjacent streets. Gift:
  Aero Club of Illinois, 8/65."
1339,2820,Grant Park and Vicinity., ,"21.75""x43""",1941,Parks," Map
  showing Grant Park and surrounding streets, S to 24th, W to Clark, N to Ohio.
  Shows park paths and labels landmarks in Grant Park and Museum Campus. Scale:
  1""=100 ft"
1340,2821,Hardin Square.,South Park Commissioners.,"8.5""x10.25""",1907,Parks," Map of
  Hardin Square Park at 25th between Wentworth and LaSalle. Shows nearby
  streets, pathways, forested areas, fields, pool, gymnasium, and other
  recreation areas. From: Report... South Park Commissioners,
  1906."
1341,2822,Hamilton Park.,South Park Commissioners.,"8.25""x8.25""",1904,Parks," Map of
  Hamilton Park between 72nd and 74th Sts. Shows nearby streets and railroads,
  pathways, forested areas, fields, pool, field house, and other recreation
  areas. From: Report... South Park Commissioners,
  1904."
1342,632,Humboldt Park,"DuBois, O.F.","15.5""x25.75""",1885,Parks," ""Map
  showing progress made in the improvements up to March 1st 1885."" Colored
  map showing Humboldt Park. Shows adjacent streets, pathways, lakes, and
  forested areas. Buildings in red. Scale:
  1""=200 ft"
1343,803,Revised General Plan of Jackson Park.,South Park Commissioners.,"23.25""x32""",1985,Parks," Map of
  Jackson Park showing nearby streets, pathways, forested areas, fields, golf
  links, harbors, lagoons, beaches, piers, building and structures, and other
  recreational facilities. Information
  on design in upper left."
1344,2823,General Plan of Jackson Park.,South Park Commissioners.,"17.25""x23""",1905,Parks," Map of
  Jackson Park showing nearby streets, pathways, forested areas, fields, golf
  links, harbors, lagoons, beaches, piers, buildings and structures, and other
  recreational facilities. From: Report... South Park Commissioners,
  1904."
1345,no number,Plan of Lincoln Park and Boulevards, ,"21.5""x34.5""",1887,Parks," Fragile.
  Tattered on edges. Colored
  map showing Lincoln Park and adjacent roads and boulevards. Shows pathways,
  lagoons, monuments, recreation facilities. Notes proposed additions. Legend
  at bottom. Main
  map: S to North, N to Diversey. Insert map of 
  Lincoln Park Blvd. in upper left. Insert map of Lake View Blvd in
  lower right. ICHi-65797"
1346,24,Plan of Lincoln Park, ,"10.5""x8""",1870,Parks," Map
  showing plan of Lincoln Park, including adjacent streets, pathways, lagoons,
  forested areas, Milliman Tract, and cemetery. S to North, W to Franklin, N to
  Webster. Scale:
  500ft = 1"" In
  qF38RP C433 L64r"
1347,25,Area and Boundaries of Lincoln Park, ,"7.5""x10.25""",1873,Parks," Map
  showing Lincoln Park between North and Diversey. Marks adjacent streets,
  Labels land plots. Denotes city property, property purchased by
  commissioners, and property ordered included in park but never purchased.
  Includes acreage. Scale:
  1"" = 1200 ft In
  qF38RP.C433 L64r ICHi-67225"
1348,55,Lincoln Park,"Lindrooth, J.H.","23""x9""",1899,Parks," Map
  showing plan for Lincoln Park including adjacent roads, pathways, forested
  areas, lagoons, and recreational facilities, Monuments, fountains, buildings,
  and miscellaneous structures numbered with legend at bottom. S to North, N to
  Diversey. In
  qF38RP.C433 L64r"
1349,605,Plan of Lincoln Park,Chas. Shober,"12.5""x8.5""",1870,Parks," Colored
  map of Lincoln park showing adjacent roads, pathways, forested areas,
  lagoons, Cemetery, Milliam Tract. S to North, N to Webster. Scale:
  1"" = 4000 ft ICHi-17017"
1350,677,"Plan of Lincoln Park Chicago -- Area 250 Acres
  (2 copies)",O. Benson,"Copy #1: In plastic sleeve.
  14""x24""",n.d.,Parks," Copy #2
  14""x25.5"" In two pieces. Torn at creases. Very fragile. Map of
  Park showing adjacent streets, pathways, forested areas, lagoons, etc.
  Landmarks numbered with legend in bottom right. Map shows Park N to Diversey,
  S to North. Insert at upper right shows Park from North to Oak St. Scale:
  400ft = 1"""
1351,813,"Plan of Lincoln Park, Chicago",Board of Public Works,"17""x23""",1865,Parks," Colored
  pictoral map showing design by Swain Nelson, landscape gardener. Shows
  pathways, forested areas, beaches, fields, lagoons, adjacent streets. Flap at
  upper left contains obituary notice for Swain Nelson. ICHi-61843"
1352,2824,"Map of Lincoln Park District showing present
  park area, proposed extensions, and work under construction", ,"Laminated. 15""x26.25""",1908,Parks," Map
  showing major North Side streets; current park area in green.  Areas proposed and under construction in
  red.  S from Loop, N to Devon. Real
  estate map in upper right shows Corbett & Connery's lake short additions
  in Edgewater.  Numbers land plots E of
  Sheridan, S to Foster, N to Bryn Mawr. ICHi-29961"
1353,2824a,"Map of Lincoln Park District showing Present
  Park Area, Proposed Extensions, and Work Under Construction", ,"15.5""x29.25""",1908,Parks," Fragile.
  Torn in 2 pieces. Map of
  north coast showing Lincoln Park in green, areas under construction shaded,
  and proposed extensions in red. Also shows adjacent streets, pathways,
  lagoons and harbors, beaches, and changes in shore line over time."
1354,2825,Lincoln Park and Vicinity.,Chicago Park District.,"26""x82""",1941,Parks," Map
  labelling Chicago streets and parks S to river, W to Seminary, N to Devon.
  Marks pathways, ponds, lagoons, harbors, beaches, gold courses, and other
  recreational facilities. Scale:
  1""=500ft ICHi-29961"
1355,2826,Lincoln Park Zoo., ,"10.75""x16.5""",1956,Parks," Map of
  Lincoln Park Zoo.  Shows pathways,
  buildings, adjacent streets, and various zoo attractions. Pictures and
  description of various animal houses around border. On
  reverse: Information
  on Zoo with photos. Includes insert map of north side Chicago marking major
  streets with location of Lincoln Park."
1356,2827,Lincoln Park.,Chicago Magazine,"16""x21""",1979,Parks," Watercolor-painting
  map of Lincoln Park showing parks spaces and major intersection roads.
  Numbers on map correspond to numbered images of park attractions, each with a
  short factoid. Information on Lincoln Park at upper left. Reverse
  contains photos and information on various Lincoln Park sculpture."
1357,2828,Lincoln Park with Proposed Extension., ,"In plastic sleeve.
  9.75""x24.5""",n.d.,Parks," Map of
  Lincoln Park with proposed extension colored green. Shows adjacent streets,
  pathways, forested areas, ponds, gardens, and other structures. S to North, N
  to Cornelia. Insert map shows Lincoln Park and proposed addition within north
  side. Notes acreage."
1358,3188,"Lincoln Park Framework Plans: A Plan for
  Management and Restoration",The Lorenz Studio,"11""x40""",1995,Parks," ""Created
  in partnership by the Chicago Parks District and the Lincoln Park Steering
  Committee."" Colored
  map of Lincoln Park showing adjacent streets and buildings, pathways,
  forested areas, beaches, lagoons, harbors, and other recreational facilities.
  Notable locations numbered, with drawings in upper and lower margins."
1359,3220,"Map of Lincoln Park showing Present Area and
  Proposed Extension",Commissioners of Lincoln Park Engineering Dept.,"9""x23""",1928,Parks," Map
  showing north shore of Chicago, marking streets, parks, golf courses,
  lagoons, harbors, zoos, and other recreational facilities. Facilities marked
  by number with legend at bottom.  S to
  Chicago River, N to Devon."
1360,2829,McKinley Park.,South Park Commissioners.,"17""x20""",1901,Parks," Map of
  McKinley Park between Western and Leavitt, 37th and 39th. Shows nearby
  streets, pathways, forested areas, fields, gymnasium, and other recreational
  facilities. From: Report... South Park Commissioners,
  1901"
1361,2831,McKinley Park.,South Park Commissioners.,"16.75""x27.75""",1906,Parks," Map of
  McKinley Park between Western and Robey, 37th and 39th. Shows nearby streets,
  pathways, forested areas, fields, gymnasium, and other recreational
  facilities. From: Report... South Park Commissioners,
  1906"
1362,2832,Mark White Square.,South Park Commissioners.,"8""x8""",1904,Parks," Map of
  Mark White Square Park at Halsted and 29th. Shows nearby streets, pathways,
  forested areas, fields, gymnasium, pools, and other recreational facilities. From: Report... South Park Commissioners,
  1904"
1363,2833,General Plan for Park Number Two.,Olmsted Bros.,"21.5""x24.5""",1904,Parks," Colored
  map of park at 29th and Halsted. Shows fields, forested areas, field house,
  swimming pool, and other recreational facilities. Also provides measurements. Gift:
  Municipal Museum, 1910."
1364,2834,"Preliminary Plan for Park No. 10. -- Marquette
  Park",South Park Commissioners.,"16""x17.5""",1904,Parks," Map of
  Marquette Park at California and 71st. Shows nearby streets, pathways,
  forested areas, fields, gymnasium, gardens, and other recreational
  facilities. From: Report... South Park Commissioners,
  1904"
1365,2835,Preliminary Plan for Park No. 10.,Olmsted Bros.,"23""x32.5""",1904,Parks," Colored
  map of park at California and 71st. Shows nearby streets, pathways, forested
  areas, fields, gymnasium, gardens, and other recreational facilities. Also
  provides measurements. Gift:
  Municipal Museum, 1910."
1366,4045,Plot Plan -- Marquette Park, ,"11""x17.5""",1962,Parks," Map
  showing plans for Marquette Park. Shows adjacent streets, lagoons, golf
  course, pathways, athletic field, and other recreational facilities. Attached
  sheet of paper in upper-left corner of map shows changes to plan at
  intersection of Kedzie and Marquette. Scale:
  1""=400 ft."
1367,2836,Ogden Park.,South Park Commissioners.,"10""x14""",1904,Parks," Map of
  Ogden Park between Loomis and Center, 64th and 67th.. Shows nearby streets,
  pathways, forested areas, fields, gymnasium, pools, and other recreational
  facilities. From: Report... South Park Commissioners,
  1904"
1368,2837,Preliminary Plan for Park No. 8.,Olmsted Bros.,"20.5""x24.75""",1904-05,Parks," Colored
  map of park between Loomis and Centre, 67th and 64th. Shows nearby streets,
  pathways, forested areas, fields, gymnasium, pools, and other recreational
  facilities. Also
  provides measurements. Gift:
  Municipal Museum, 1910."
1369,2838,Palmer Park.,South Park Commissioners.,"8""x8.5""",1904,Parks," Map of
  Palmer Park between Indiana and South Park, 111th and 113th.. Shows nearby
  streets, pathways, forested areas, fields, gymnasium, pools, and other
  recreational facilities. From: Report... South Park Commissioners,
  1904"
1370,2840,Russell Square.,South Park Commissioners.,"8""x8""",1904,Parks," Map of
  Russell Square Park at 83rd between Houston and Bond. Shows nearby streets,
  pathways, forested areas, fields, gymnasium, pools, and other recreational
  facilities. From: Report... South Park Commissioners,
  1904"
1371,2841,Sherman Park.,South Park Commissioners.,"10""x13.5""",1904,Parks," Map of
  Sherman Park between Centre and Loomis, 52nd and 55th. Shows nearby streets,
  pathways, forested areas, fields, gymnasium, pools, and other recreational
  facilities. From: Report... South Park Commissioners,
  1904"
1372,629,"Plan of the South Open Ground, the Upper
  Plaisance, the Midway Plaisance, the Lake Open Ground, the Lagoon Plaisance,
  and Parkway Quadrant. (2 copies)",Chicago South Park Commission,"17.75""x14.5""",1871,Parks," Map
  showing South Parks (future Jackson and Washington Parks). Shows adjacent
  streets, pathways, lagoons, canals, harbors, and other recreational
  facilities. Areas and distances between park landmarks in upper left. Copy #1
  colored, ICHi-03491 Copy #2
  black and white. From:
  Olmstead, Vaux & Co. Report... Laying Out... South
  Park, 1871."
1373,800,"Map showing Progress Made in the Improvement of
  the Eastern Division of South Park",Chicago South Park Commissioners,"18""x22""",1880,Parks," Map
  showing plan for future Jackson Park. Marks adjacent streets, trails,
  forested areas, lagoons, terraces, pier, and other recreational facilities. Improved
  portion represented in colors. Attached
  to map #0801. From: Report... South Park Commissioners,
  1880."
1374,801,"Map showing Progress Made in the Improvement of
  the Western  Division of South Park",Chicago South Park Commissioners,"12.25""x22""",1880,Parks," Map
  showing plan for future Jackson Park. Marks adjacent streets, trails,
  forested areas, lagoons, terraces, and other recreational facilities. Improved
  portion represented in colors. Attached
  to map #0801. From: Report... South Park Commissioners,
  1880."
1375,2842,"Map of South Park District Showing Location of
  Parks and Boulevards.", ,"37""x59.5""",1904,Parks," Map of
  south side of Chicago showing major streets, railroads, and parks and
  boulevards shaded green. Table of park areas and boulevard lengths in upper
  right."
1376,647,General Plan of Washington Park,Chicago South Park Commissioners,"10""x16.5""",1897,Parks," Map of
  Washington Park between Cottage Grove and South Park, 51st and 60th. Shows
  adjacent roads, pathways, forested areas, lagoons, and other recreational
  facilities. On
  reverse:  Map showing territory north of Washington
  Park, drawn 1900. Shows streets and properties with owners. S to 50th, E to
  Calumet, N to 48th, E to Drexel."
1377,1163,Washington Park. (3 parts), ,"Blueprint plat maps showing
  streets and properties around Washington Park with owners, addresses, and
  measurements. In manila folder.",1879,Parks," Piece
  #1: 16.25""x19"" Drexel
  and Cottage Grove at 51st and 50th. Lists property acreage, deed dates,
  prices. Piece
  #3: 23.25""x25"" Drexel
  and Cottage Grove at 51st and 50th. Piece
  #3: 22.5""x50"" E to
  Drexel, S to 51st, W to Calumet, N to 49th."
1378,2844,General Plan of Washington Park.,Chicago South Park Commissioners,"16""x28""",1905,Parks," Map of
  Washington Park between Cottage Grove and South Park, 50st and 60th. Shows
  adjacent roads, pathways, forested areas, lagoons, and other recreational
  facilities. From: Report... South Park Commissioners
  1904. ICHi-32354"
1379,2845,"Vicinity of Administrative Building-Washington
  Park.",Chicago South Park Commissioners,"8""x11.25""",1912,Parks," Map of
  Administrative Building area in Washington Park at Cottage Grove and 56th.
  Shows adjacent roads, pathways, forested areas, gardens, buildings, and other
  recreational facilities. From: Report... South Park Commissioners
  1904."
1380,2847,Maps of the Parks.(West- 6 maps),Fred Klein Co.,"Booklet containing 6 maps, each
  17""x28""",1912,Parks," Pg. 1:
  Garfield Park, showing adjacent streets, pathways, forested areas, lagoons,
  golf links, and other recreational areas. Pg. 2:
  Douglas Park, showing adjacent streets, pathways, forested areas, lagoons,
  and other recreational areas. Pg. 3:
  Humboldt Park, showing adjacent streets, pathways, forested areas, lagoons,
  and other recreational areas. Pg. 4:
  Union and Wicker Parks, showing adjacent streets, pathways, forested areas,
  lagoons, and other recreational areas. Pg. 5:
  Jefferson, Vernon, and Holstein Parks, showing adjacent streets, pathways,
  forested areas, lagoons, and other recreational areas. Pg. 6:
  Vernon Park, Pk. No. 1 (Chicago and Chase), Pk. No. 2 (Jefferson and W. 14th)
  and Pk. No. 3 (May & W. 20th) showing adjacent streets, pathways,
  forested areas, lagoons, and other recreational areas. Map of Park Site No. 5
  (Blackhawk & Cleaver) shows character and location of existing buildings."
1381,2848,West Park District., ,"23.25""x28.75""",1913,Parks," Map of
  West Park district showing parks and boulevards with adjacent streets. S to
  38th, W to Cicero, N to Belmont. Table listing park area and boulevard length
  in upper left."
1382,no number,"Map of the City of Chicago showing Density of
  Population as per U.S. Census for 1910",Department of Public Works,"25.5""x42.5""",1912,Population & Sociology/Genl," Map of
  Chicago showing major streets, ward boundaries and numbers, census tract
  boundaries, and population numbers. Labels boundary streets. Map
  based on old wards existing prior to 12/4/11. Morgan Park not annexed to
  Chicago."
1383,no number,"Community Areas by Census Tracts as of 1980 U.S.
  Census",Department of Planning,"17""x22""",1980,Population & Sociology/Genl," Map of
  Chicago marking major streets. Community and census tract areas marked and
  numbered. Numbered legend to community area names at left."
1384,no number,"Chicagoland on the March! Predicted Growth of
  City, Suburbs",Chicago Tribune,"In folder. 21.5""x14""",1962,Population & Sociology/Genl," Map
  and article from Tribune. Map shows city and suburbs, labelled and marked by
  color denoting projected population growth between 1960 and 1970. Shows Cook,
  DuPage, Lake (Ill), Lake (Ind), Will, Kane, and McHenry counties.  Table listing municipalities and
  current/projected populations at left."
1385,no number,"Change in Population, 1980 to 1990 by
  Municipality in Northeastern Illinois.",U.S. Bureau of the Census,"11""x17""",1990,Population & Sociology/Genl," Map
  showing Cook, DuPage, Will, Kane, Lake, and McHenry counties. Shows cities
  and suburbs. Marks percentage of change by green shading, with legend in
  lower left, along with information on census data. Detailed
  statistics on reverse."
1386,no number,Percent Change in Household Size 1980 to 1990,U.S. Bureau of the Census,"11""x17""",1990,Population & Sociology/Genl," Map
  showing Cook, DuPage, Will, Kane, Lake, and McHenry counties. Shows cities
  and suburbs. Marks percentage of change by red shading, with legend in lower
  left, along with information on census data. Detailed
  statistics on reverse."
1387,no number,"1980-1990 Change in Housing Units by Suburban
  Municipality and Chicago Community Area",U.S. Bureau of the Census,"11""x17""",1990,Population & Sociology/Genl," Map
  showing Cook, DuPage, Will, Kane, Lake, and McHenry counties. Shows cities
  and suburbs. Marks percentage of change by green shading, with legend in
  lower left, along with information on census data. Detailed
  statistics on reverse."
1388,1164,"Map of Chicago Showing Extent of Settled Area
  for the Periods 1834, 1844, 1857, and 1873.","Hoyt, Homer","11""x8.5""",[1873],Population & Sociology/Genl," Map of
  Chicago city limits as of 1932.  Map
  colored in 4 different shades to mark expansion of settlement area from 1834
  to 1873.  Labels parks, lakes, major
  streets.  Also shows railway lines and
  railroad properties."
1389,1165,"Map of Chicago Showing Extent of Settled Area in
  1899.","Hoyt, Homer","8.5""x11""",1899,Population & Sociology/Genl," Map of
  Chicago marking major streets, railroads, rivers and canals. Also shows
  railroad properties, parks and forest preserves. Marks areas settled before
  1873 and settled from 1873-1899."
1390,1166,Hull House Wage Map., ,"In plastic sleeve.
  14""x44""",1895,Population & Sociology/Genl," Plat
  maps showing streets, railways, properties with addresses and dimension.
  Homes marked by color representing earnings per week. Wage Map
  1- Polk Street to 12th, Halsted St. to Jefferson Wage
  Map 2- Polk St. to 12th, Jefferson to Beach Wage Map
  3- Polk St. to 12th, Beach St. to Pacific Ave. Wage Map
  4- Polk St. to 12th, Pacific Ave. to State St. From: Hull House Maps and Papers. F38JW-H8m. ICHi-51284"
1391,2786,"Population in the City of Chicago Per Square
  Mile 1900-1970.",Dept. of Development and Planning,"17""x22""",1975,Population & Sociology/Genl," Map of
  Chicago showing street grid, dividing city in square miles. Bar graph in each
  square mile shows population change per decade, 1900-1970. Statistics on
  total population and area at left."
1392,2849,"City of Chicago Map Showing Density of
  Population by Election Precincts Based upon the United States Census of 1900.", ,"34.75""x53""",1901,Population & Sociology/Genl," Map of
  Chicago inside of parks and boulevard loop. Smaller parks marked and labelled
  by letter, with legend at left. Population per acre denoted by shading and
  color, with legend at left. Note:
  Wards renumbered and boundaries changed 1/7/1901."
1393,2850,Map No. 3., ,"21.25""x16.5""",1904,Population & Sociology/Genl," Map of
  city within Parks and Boulevard loop indicating relative density of
  population. Key at upper right indicates amount of persons per acre.
  Cross-lined areas indicate parks and boulevards in existence in 1904. From: Report... Special Park Commission,
  1904."
1394,2851,Map No. 3., ,"21.25""x16.5""",1904,Population & Sociology/Genl," Map of
  city within Parks and Boulevard loop indicating relative density of
  population. Key at upper right indicates amount of persons per acre.
  Cross-lined areas indicate parks and boulevards in existence in 1904."
1395,2852,Extent of Settled Area in 1926.,"Hoyt, Homer","8.5""x11""",1926,Population & Sociology/Genl," Map of
  Chicago marking major streets, railroads, rivers and canals. Also shows
  railroad properties, parks and forest preserves. Marks areas settled before
  1899 and settled from 1899-1926."
1396,2853,Census Tracts of Chicago.,"Social Science Committee, University of Chicago","17""x22""",1934,Population & Sociology/Genl," Map of
  Chicago marking areas by community number and census tract number. Marks
  streets, rivers, and railways forming boundaries. Marks railroad and
  industrial properties, parks, forest preserves, and cemeteries."
